OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1262,10100,10100,Brant,Brant Township,Township,96.113,37.109,23749.802,17A,portrait,lower,181438807.304688,54187.6275379426
1263,51700,51700,Marion,Marion Township,Township,63.83,24.645,15772.452,17A,portrait,lower,120490808.304688,44805.8663926854
1264,51060,51060,Maple Grove,Maple Grove Township,Township,95.075,36.708,23493.271,17A,landscape,lower,178980832.679688,53532.372296156
1265,15160,15160,Chesaning,Chesaning Township,Township,89.702,34.634,22165.5,17A,portrait,lower,168864738.175781,53038.5483131298
1266,09940,9940,Brady,Brady Township,Township,95.243,36.773,23534.769,17A,landscape,lower,179275678.570312,55671.1603625944
1267,14660,14660,Chapin,Chapin Township,Township,63.789,24.629,15762.482,17A,portrait,lower,120075179.539062,44563.2693191468
1268,12020,12020,Burtchville,Burtchville Township,Township,40.289,15.555,9955.399,17A,portrait,lower,75664597.8515625,39599.9515159785
1269,34420,34420,Grant,Grant Township,Township,77.398,29.883,19125.235,17A,portrait,lower,145366287.300781,48482.5515540052
1270,35220,35220,Greenwood,Greenwood Township,Township,93.048,35.926,22992.393,17A,landscape,lower,174750713.402344,52858.0463948954
1271,10820,10820,Brockway,Brockway Township,Township,87.613,33.828,21649.517,17A,portrait,lower,164534392.339844,69343.0227954668
1272,49800,49800,Lynn,Lynn Township,Township,93.374,36.052,23072.985,17A,landscape,lower,175350534.183594,52959.8202342807
1273,89000,89000,Yale,City of Yale,City,3.599,1.39,889.292,17A,landscape,lower,6761267.10546875,16818.5666308392
1274,29760,29760,Fort Gratiot,Fort Gratiot Township,Township,41.682,16.093,10299.765,17A,portrait,lower,78086173.859375,45178.5580149801
1275,16760,16760,Clyde,Clyde Township,Township,93.146,35.964,23016.635,17A,portrait,lower,174458474.136719,52826.113643012
1276,42740,42740,Kenockee,Kenockee Township,Township,92.927,35.879,22962.571,17A,landscape,lower,174037802.050781,52902.7138350133
1277,25960,25960,Emmett,Emmett Township,Township,91.54,35.344,22619.9,17A,portrait,lower,171431497.214844,52484.2977341788
1278,56380,56380,Mussey,Mussey Township,Township,92.901,35.869,22956.164,17A,landscape,lower,173981469.71875,52796.7416530269
1279,65820,65820,Port Huron,City of Port Huron,City,23.7,9.151,5856.426,17A,portrait,lower,44309352.9414062,48124.4023556375
1280,65840,65840,Port Huron,Port Huron Township,Township,33.939,13.104,8386.474,17A,portrait,lower,63441440.5664062,48915.5315052211
1281,43160,43160,Kimball,Kimball Township,Township,96.989,37.447,23966.216,17A,portrait,lower,181145874.59375,55059.44824192
1282,82900,82900,Wales,Wales Township,Township,96.927,37.423,23950.871,17A,portrait,lower,181020870.917969,53930.3999964116
1283,68620,68620,Riley,Riley Township,Township,99.241,38.317,24522.819,17A,landscape,lower,185332842.59375,56993.7709737759
1284,07760,7760,Berlin,Berlin Township,Township,96.137,37.119,23755.72,17A,portrait,lower,179537550.273438,53577.7973223794
1285,52080,52080,Marysville,City of Marysville,City,21.512,8.306,5315.775,17A,portrait,lower,40125380.0898438,32360.9348214353
1286,17520,17520,Columbus,Columbus Township,Township,95.65,36.93,23635.368,17A,portrait,lower,178130182.800781,54098.769129914
1287,70680,70680,St Clair,City of St Clair,City,9.407,3.632,2324.507,17A,portrait,lower,17500430.828125,27075.3260073151
1288,70700,70700,St Clair,St Clair Township,Township,101.348,39.131,25043.389,17A,landscape,lower,188755983.925781,70727.1936283027
1289,15540,15540,China,China Township,Township,89.131,34.413,22024.496,17A,portrait,lower,165536282.527344,54232.7532383472
1290,23820,23820,East China,East China Township,Township,20.103,7.762,4967.469,17A,portrait,lower,37324890.6875,35971.8364857929
1291,13720,13720,Casco,Casco Township,Township,95.905,37.029,23698.278,17A,portrait,lower,178099589.941406,53630.6407323841
1292,51600,51600,Marine City,City of Marine City,City,7.498,2.895,1852.68,17A,portrait,lower,13898551.2421875,26012.6794599078
1293,40920,40920,Ira,Ira Township,Township,44.029,16.999,10879.609,17A,landscape,lower,81592216.34375,45136.5217906285
1294,18400,18400,Cottrellville,Cottrellville Township,Township,57.049,22.027,14096.962,17A,landscape,lower,105691848.671875,55354.1043026369
1295,01180,1180,Algonac,City of Algonac,City,4.449,1.718,1099.378,17A,portrait,lower,8223299.83203125,15081.8404159017
1296,16180,16180,Clay,Clay Township,Township,100.782,38.912,24903.454,17A,portrait,lower,186236272.503906,309827.086138598
1297,47020,47020,Leonidas,Leonidas Township,Township,93.587,36.134,23125.649,17A,landscape,lower,169831911.425781,52185.0691712828
1298,53000,53000,Mendon,Mendon Township,Township,93.763,36.202,23169.019,17A,landscape,lower,170141195.957031,52206.1838048369
1299,62480,62480,Park,Park Township,Township,92.383,35.669,22828.038,17A,landscape,lower,167626012.089844,51798.4086056991
1300,29140,29140,Flowerfield,Flowerfield Township,Township,93.003,35.909,22981.374,17A,landscape,lower,168741506.316406,51968.5922824886
1301,17370,17370,Colon,Colon Township,Township,94.245,36.388,23288.114,17A,landscape,lower,170558199.265625,52329.6203335149
1302,59400,59400,Nottawa,Nottawa Township,Township,97.386,37.601,24064.407,17A,landscape,lower,176230373.832031,54709.8843447787
1303,49060,49060,Lockport,Lockport Township,Township,78.97,30.49,19513.661,17A,portrait,lower,142897151.097656,86779.4617361135
1304,79760,79760,Three Rivers,City of Three Rivers,City,14.566,5.624,3599.401,17A,landscape,lower,26362986.625,55862.339084093
1305,26920,26920,Fabius,Fabius Township,Township,90.95,35.116,22473.913,17A,landscape,lower,164566638.539062,63810.6519612609
